Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
40.5986; 1.37843; 42.8288; 1.53514; 45.574; 1.75271; 48.4775; 2.01646; 52.118; 2.40395
40.0549; 1.34272; 42.324; 1.49818; 45.1251; 1.71514; 48.0965; 1.97971; 51.8336; 2.37116
39.5254; 1.30882; 41.8304; 1.46289; 44.6844; 1.67902; 47.7209; 1.94413; 51.5518; 2.33913
39.0095; 0.840445; 41.3477; 1.4292; 44.2516; 1.6443; 47.3506; 1.90968; 51.2728; 2.30783
38.5069; 0.835419; 40.8758; 1.397; 43.8265; 1.6109; 46.9854; 1.87631; 50.9964; 2.27724
38.0171; 0.830521; 40.4141; 1.36621; 43.4091; 1.57876; 46.6254; 1.84398; 50.7226; 2.24733
37.5398; 0.825748; 39.9626; 1.33675; 42.9991; 1.54782; 46.2704; 1.81264; 50.4515; 2.2181
37.0746; 0.821096; 39.521; 1.30855; 42.5965; 1.51802; 45.9203; 1.78226; 50.1828; 2.18952
36.621; 0.81656; 39.0889; 1.28153; 42.2009; 1.4893; 45.575; 1.7528; 49.9167; 2.16157
36.1788; 0.812138; 38.6661; 0.837011; 41.8124; 1.46162; 45.2345; 1.72422; 49.6531; 2.13423
35.7476; 0.807826; 38.2525; 0.832875; 41.4307; 1.43493; 44.8988; 1.69649; 49.392; 2.1075
35.3271; 0.803621; 37.8476; 0.828827; 41.0556; 1.40918; 44.5676; 1.66958; 49.1333; 2.08134
34.917; 0.79952; 37.4514; 0.824864; 40.6871; 1.38434; 44.2409; 1.64346; 48.8771; 2.05574
34.5169; 0.795519; 37.0637; 0.820987; 40.3251; 1.36035; 43.9188; 1.61809; 48.6232; 2.0307
34.1265; 0.791615; 36.684; 0.81719; 39.9693; 1.33718; 43.601; 1.59345; 48.3717; 2.00619
33.7456; 0.787806; 36.3124; 0.813474; 39.6197; 1.3148; 43.2875; 1.56952; 48.1225; 1.9822
33.3739; 0.784089; 35.9486; 0.809835; 39.276; 1.29316; 42.9783; 1.54626; 47.8756; 1.95871
33.0111; 0.78046; 35.5923; 0.806273; 38.9383; 0.839733; 42.6732; 1.52365; 47.631; 1.93572
32.6569; 0.776919; 35.2434; 0.802784; 38.6064; 0.836414; 42.3723; 1.50168; 47.3887; 1.9132
32.3111; 0.773461; 34.9017; 0.799367; 38.2801; 0.833151; 42.0754; 1.4803; 47.1486; 1.89115
31.9735; 0.770085; 34.567; 0.79602; 37.9593; 0.829943; 41.7825; 1.45952; 46.9107; 1.86956
31.6438; 0.766788; 34.2392; 0.792742; 37.644; 0.82679; 41.4935; 1.43929; 46.675; 1.8484
31.3217; 0.763567; 33.918; 0.78953; 37.334; 0.82369; 41.2083; 1.41961; 46.4415; 1.82768
31.7103; 0.767453; 34.2557; 0.792907; 37.6014; 0.826363; 41.3919; 1.43225; 46.506; 1.83338
32.5931; 0.776281; 35.0933; 0.801283; 38.3761; 0.834111; 42.0916; 1.48146; 47.0987; 1.8866
33.5405; 0.785755; 35.9965; 0.810315; 39.2181; 1.28955; 42.8604; 1.53749; 47.7634; 1.94813
34.4828; 0.795178; 36.8955; 0.819305; 40.057; 1.34285; 43.6277; 1.59551; 48.4287; 2.01172
35.4092; 0.804441; 37.7793; 0.828143; 40.8819; 1.39742; 44.3824; 1.65472; 49.0838; 2.07636
36.3181; 0.813531; 38.6464; 0.836815; 41.6914; 1.45311; 45.1231; 1.71497; 49.727; 2.14186
37.2097; 0.822447; 39.497; 1.30704; 42.4854; 1.5099; 45.8499; 1.77621; 50.3585; 2.20817
38.0842; 0.831192; 40.3314; 1.36076; 43.2643; 1.56776; 46.5629; 1.83842; 50.9784; 2.27525
38.942; 0.83977; 41.1497; 1.4156; 44.0283; 1.62667; 47.2625; 1.90158; 51.5869; 2.34309
39.7835; 1.32524; 41.9525; 1.47155; 44.7778; 1.68661; 47.9489; 1.96565; 52.1843; 2.41166
40.6089; 1.37912; 42.7399; 1.52857; 45.5131; 1.74756; 48.6224; 2.03062; 52.7708; 2.48092
41.4186; 1.4341; 43.5124; 1.58665; 46.2344; 1.8095; 49.2833; 2.09646; 53.3467; 2.55087
42.2128; 1.49016; 44.2701; 1.64577; 46.9421; 1.87239; 49.9319; 2.16315; 53.9121; 2.62147
42.992; 1.54729; 45.0135; 1.70592; 47.6364; 1.93622; 50.5683; 2.23065; 54.4673; 2.6927
43.7564; 1.60546; 45.7428; 1.76705; 48.3177; 2.00097; 51.193; 2.29895; 55.0126; 2.76452
44.5063; 1.66465; 46.4583; 1.82916; 48.9861; 2.0666; 51.806; 2.36802; 55.5481; 2.83693
45.2421; 1.72485; 47.1603; 1.89222; 49.642; 2.13309; 52.4078; 2.43782; 56.074; 2.90989
45.9639; 1.78602; 47.8491; 1.9562; 50.2857; 2.20042; 52.9984; 2.50834; 56.5906; 2.98338
46.6722; 1.84815; 48.5249; 2.02109; 50.9173; 2.26856; 53.5782; 2.57955; 57.098; 3.05737
47.3672; 1.91121; 49.188; 2.08684; 51.5372; 2.33748; 54.1474; 2.65142; 57.5965; 3.13184
48.0491; 1.97518; 49.8388; 2.15345; 52.1456; 2.40715; 54.7062; 2.72392; 58.0862; 3.20677
48.7182; 2.04004; 50.4774; 2.22088; 52.7427; 2.47756; 55.2548; 2.79704; 58.5673; 3.28213
49.3749; 2.10576; 51.1042; 2.28911; 53.3288; 2.54868; 55.7935; 2.87074; 59.04; 3.3579
50.0194; 2.17231; 51.7193; 2.35812; 53.9042; 2.62046; 56.3224; 2.94499; 59.5045; 3.43406
50.6518; 2.23966; 52.323; 2.42786; 54.469; 2.6929; 56.8418; 3.01978; 59.961; 3.51058
51.2726; 2.30781; 52.9156; 2.49833; 55.0234; 2.76597; 57.3519; 3.09507; 60.4096; 3.58745
51.8819; 2.3767; 53.4973; 2.56949; 55.5678; 2.83963; 57.8528; 3.17084; 60.8505; 3.66463
52.48; 2.44633; 54.0683; 2.64131; 56.1023; 2.91386; 58.3449; 3.24707; 61.2839; 3.74212
53.0671; 2.51667; 54.6289; 2.71378; 56.6271; 2.98864; 58.8282; 3.32373; 61.7099; 3.81988
53.6434; 2.58768; 55.1793; 2.78686; 57.1425; 3.06394; 59.303; 3.4008; 62.1286; 3.8979
54.2093; 2.65935; 55.7197; 2.86053; 57.6486; 3.13973; 59.7694; 3.47825; 62.5404; 3.97616
54.7648; 2.73165; 56.2503; 2.93475; 58.1457; 3.21599; 60.2276; 3.55607; 62.9452; 4.05463
55.3103; 2.80455; 56.7713; 3.00952; 58.6339; 3.2927; 60.6779; 3.63421; 63.3432; 4.13331
55.8459; 2.87802; 57.283; 3.08479; 59.1134; 3.36982; 61.1203; 3.71268; 63.7346; 4.21217
