move_time_iter: 180
free_time_iter: 180
move_time_iter: 180
free_time_iter: 150
move_time_iter: 180
free_time_iter: 120
move_time_iter: 180
free_time_iter: 90
move_time_iter: 180
free_time_iter: 60
Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
38.6263; 0.836613; 38.6263; 0.836613; 38.6263; 0.836613; 38.6263; 0.836613; 38.6263; 0.836613
35.1175; 0.801525; 35.1175; 0.801525; 35.1175; 0.801525; 35.1175; 0.801525; 35.1175; 0.801525
32.2068; 0.772418; 32.2068; 0.772418; 32.2068; 0.772418; 32.2068; 0.772418; 32.2068; 0.772418
29.7528; 0.747878; 29.7528; 0.747878; 29.7528; 0.747878; 29.7528; 0.747878; 29.7528; 0.747878
27.6564; 0.726914; 27.6564; 0.726914; 27.6564; 0.726914; 27.6564; 0.726914; 27.6564; 0.726914
25.8465; 0.708815; 25.8465; 0.708815; 25.8465; 0.708815; 25.8465; 0.708815; 25.8465; 0.708815
24.2707; 0.693057; 24.2707; 0.693057; 24.2707; 0.693057; 24.2707; 0.693057; 24.2707; 0.693057
22.8899; 0.679249; 22.8899; 0.679249; 22.8899; 0.679249; 22.8899; 0.679249; 22.8899; 0.679249
21.6736; 0.667086; 21.6736; 0.667086; 21.6736; 0.667086; 21.6736; 0.667086; 21.6736; 0.667086
20.5981; 0.656331; 20.5981; 0.656331; 20.5981; 0.656331; 20.5981; 0.656331; 20.5981; 0.656331
19.6442; 0.646792; 19.6442; 0.646792; 19.6442; 0.646792; 19.6442; 0.646792; 19.6442; 0.646792
18.796; 0.63831; 18.796; 0.63831; 18.796; 0.63831; 18.796; 0.63831; 18.796; 0.63831
18.0406; 0.630756; 18.0406; 0.630756; 18.0406; 0.630756; 18.0406; 0.630756; 18.0406; 0.630756
17.3669; 0.624019; 17.3669; 0.624019; 17.3669; 0.624019; 17.3669; 0.624019; 17.3669; 0.624019
16.7653; 0.618003; 16.7653; 0.618003; 16.7653; 0.618003; 16.7653; 0.618003; 16.7653; 0.618003
16.2276; 0.612626; 16.2276; 0.612626; 16.2276; 0.612626; 16.2276; 0.612626; 16.2276; 0.612626
