Toil_alone; Alfa_alone; Toil_6min; Alfa_6min; Toil_8min; Alfa_8min; Toil_10min; Alfa_10min; Toil_12min; Alfa_12min
57.7924; 6.26856; 54.6192; 2.71251; 48.3546; 1.61419; 44.5385; 1.16366; 41.2146; 0.570887
58.6418; 6.53097; 55.8129; 2.87344; 49.3659; 1.69497; 45.4405; 1.21545; 42.0224; 0.578964
59.4808; 6.80096; 56.9603; 3.03711; 50.3378; 1.77639; 46.3071; 1.26739; 42.7984; 0.586724
60.3095; 7.0786; 58.0634; 3.20324; 51.2719; 1.85834; 47.1399; 1.31939; 43.544; 0.59418
61.1281; 7.36397; 59.1241; 3.37156; 52.17; 1.9407; 47.9405; 1.37138; 44.2607; 0.601347
61.9367; 7.65714; 60.1443; 3.54179; 53.0337; 2.02333; 48.7104; 1.42332; 44.9498; 0.608238
62.7354; 7.95818; 61.1259; 3.71368; 53.8646; 2.10615; 49.4509; 1.47513; 45.6126; 0.614866
63.5243; 8.26716; 62.0705; 3.88698; 54.6641; 2.18904; 50.1635; 1.52676; 46.2503; 0.621243
64.3036; 8.58412; 62.9799; 4.06143; 55.4337; 2.27191; 50.8493; 1.57816; 46.864; 1.14001
65.0734; 8.90915; 63.8555; 4.23681; 56.1747; 2.35466; 51.5096; 1.62928; 47.4548; 1.173
65.1183; 8.92851; 62.5215; 3.97254; 55.0614; 2.23144; 50.5259; 1.55371; 46.5813; 1.12456
64.5277; 8.67751; 60.5565; 3.61298; 53.4098; 2.06041; 49.0604; 1.44758; 45.2749; 0.611489
63.7879; 8.37302; 58.6864; 3.30105; 51.8355; 1.90961; 47.6622; 1.35308; 44.0274; 0.599013
63.023; 8.06946; 56.9175; 3.03084; 50.3446; 1.77698; 46.3369; 1.26921; 42.8442; 0.587182
62.2642; 7.77916; 55.2431; 2.79546; 48.9315; 1.65979; 45.08; 1.19448; 41.7214; 0.575954
61.5188; 7.50417; 53.6568; 2.58936; 47.5914; 1.5558; 43.8871; 0.676261; 40.6551; 0.565291
60.7882; 7.24409; 52.1531; 2.40803; 46.3195; 1.46313; 42.7543; 0.664933; 39.642; 0.55516
60.0724; 6.99804; 50.7265; 2.24775; 45.1117; 1.38025; 41.6778; 0.654169; 38.6788; 0.545528
59.3712; 6.76509; 49.3722; 2.10548; 43.964; 1.30585; 40.6544; 0.643934; 37.7625; 0.536365
58.6842; 6.54436; 48.0856; 1.97867; 42.8727; 1.23883; 39.6806; 0.634196; 36.8903; 0.527643
58.011; 6.33506; 46.8625; 1.86521; 41.8343; 0.740434; 38.7537; 0.624927; 36.0597; 0.519337
57.3512; 6.13644; 45.699; 1.76332; 40.8458; 0.730548; 37.8707; 0.616097; 35.2681; 0.511422
56.7045; 5.94781; 44.5915; 1.67151; 39.904; 0.721131; 37.0292; 0.607682; 34.5135; 0.503875
56.0707; 5.76854; 43.5366; 1.58851; 39.0064; 0.712154; 36.2267; 0.599657; 33.7935; 0.496675
55.4493; 5.59805; 42.5311; 1.51323; 38.1502; 0.703592; 35.461; 0.592; 33.1062; 0.489802
54.8401; 5.4358; 41.5721; 1.44477; 37.3331; 0.695421; 34.7299; 0.584689; 32.4498; 0.483238
54.2428; 5.28128; 40.657; 1.38232; 36.5528; 0.687618; 34.0316; 0.577706; 31.8226; 0.476966
53.6571; 5.13403; 39.7831; 1.32521; 35.8072; 0.680163; 33.364; 0.57103; 31.2229; 0.470969
53.0828; 4.99362; 38.9481; 0.839831; 35.0945; 0.673035; 32.7256; 0.564646; 30.6491; 0.465231
52.5195; 4.85964; 38.1497; 0.831847; 34.4126; 0.666216; 32.1147; 0.558537; 30.1; 0.45974
51.967; 4.73173; 37.3859; 0.824209; 33.7599; 0.659689; 31.5297; 0.552688; 29.574; 0.45448
52.0854; 4.75886; 38.5967; 0.836316; 34.7896; 0.669986; 32.4503; 0.561893; 30.4003; 0.462743
52.8095; 4.92817; 40.4348; 1.36757; 36.3541; 0.685631; 33.8496; 0.575886; 31.6566; 0.475306
53.6892; 5.142; 42.2158; 1.49037; 37.8688; 0.700777; 35.2036; 0.589426; 32.8717; 0.487457
54.603; 5.37393; 43.9252; 1.61859; 39.3215; 0.715305; 36.5018; 0.602408; 34.0363; 0.499103
55.5178; 5.6166; 45.5655; 1.75199; 40.7147; 0.729237; 37.7463; 0.614852; 35.1523; 0.510263
56.4247; 5.86799; 47.1397; 1.89034; 42.051; 1.19064; 38.9395; 0.626785; 36.222; 0.52096
57.3212; 6.12757; 48.6505; 2.03338; 43.3329; 1.26666; 40.0837; 0.638227; 37.2475; 0.531215
58.2068; 6.39525; 50.1006; 2.18084; 44.5627; 1.34414; 41.1812; 0.649202; 38.2309; 0.541049
59.0814; 6.67107; 51.4927; 2.33246; 45.7428; 1.42295; 42.234; 0.65973; 39.174; 0.55048
59.945; 6.9551; 52.8292; 2.48793; 46.8753; 1.50293; 43.2442; 0.669832; 40.0787; 0.559527
60.7977; 7.24742; 54.1125; 2.64696; 47.9625; 1.58392; 44.2136; 1.14555; 40.9467; 0.568207
61.6397; 7.5481; 55.3451; 2.80926; 49.0063; 1.66579; 45.1442; 1.19819; 41.7798; 0.576539
62.471; 7.85723; 56.5291; 2.97453; 50.0087; 1.7484; 46.0378; 1.25101; 42.5796; 0.584536
63.2918; 8.17487; 57.6667; 3.14248; 50.9716; 1.8316; 46.8959; 1.30394; 43.3476; 0.592216
64.1023; 8.5011; 58.76; 3.3128; 51.8968; 1.91526; 47.7203; 1.35688; 44.0853; 0.599593
64.9026; 8.83599; 59.8108; 3.48522; 52.7859; 1.99927; 48.5125; 1.40979; 44.7941; 0.606681
65.6927; 9.17958; 60.8212; 3.65945; 53.6407; 2.08351; 49.274; 1.46258; 45.4753; 0.613493
66.4729; 9.53194; 61.7929; 3.83523; 54.4626; 2.16785; 50.0062; 1.51521; 46.1303; 0.620043
67.2432; 9.89312; 62.7277; 4.01229; 55.2532; 2.2522; 50.7104; 1.56761; 46.7601; 1.13431
68.0037; 10.2632; 63.6272; 4.19038; 56.014; 2.33646; 51.388; 1.61974; 47.3661; 1.16798
68.7547; 10.6421; 64.4931; 4.36926; 56.7462; 2.42054; 52.0401; 1.67155; 47.9493; 1.20134
68.7698; 10.6499; 63.1441; 4.09377; 55.6201; 2.29245; 51.0449; 1.59314; 47.0653; 1.15114
